year,age,sex,pop
1965,0,F,852899.0
1965,0,M,889632.0
1965,1,F,812370.0
1965,1,M,846307.0
1965,2,F,791036.0
1965,2,M,822780.0
1965,3,F,767878.0
1965,3,M,799563.0
1965,4,F,759719.0
1965,4,M,791299.0
1965,5,F,769219.0
1965,5,M,798843.0
1965,6,F,785013.0
1965,6,M,814583.0
1965,7,F,767004.0
1965,7,M,793017.0
1965,8,F,744459.0
1965,8,M,770261.0
1965,9,F,788586.0
1965,9,M,818307.0
1965,10,F,831458.0
1965,10,M,864370.0
1965,11,F,830716.0
1965,11,M,862350.0
1965,12,F,893163.0
1965,12,M,920094.0
1965,13,F,948031.0
1965,13,M,979163.0
1965,14,F,1009869.0
1965,14,M,1044193.0
1965,15,F,1097016.0
1965,15,M,1126864.0
1965,16,F,1213802.0
1965,16,M,1238803.0
1965,17,F,1199896.0
1965,17,M,1223286.0
1965,18,F,1137233.0
1965,18,M,1158183.0
1965,19,F,725600.0
1965,19,M,731205.0
1965,20,F,781154.0
1965,20,M,772148.0
1965,21,F,953606.0
1965,21,M,936013.0
1965,22,F,929169.0
1965,22,M,911787.0
1965,23,F,960613.0
1965,23,M,943005.0
1965,24,F,947850.0
1965,24,M,933344.0
1965,25,F,872150.0
1965,25,M,858006.0
1965,26,F,767934.0
1965,26,M,754858.0
1965,27,F,832674.0
1965,27,M,817531.0
1965,28,F,862429.0
1965,28,M,854529.0
1965,29,F,871614.0
1965,29,M,872104.0
1965,30,F,839450.0
1965,30,M,844590.0
1965,31,F,815832.0
1965,31,M,819336.0
1965,32,F,831390.0
1965,32,M,835855.0
1965,33,F,817659.0
1965,33,M,830998.0
1965,34,F,805745.0
1965,34,M,816475.0
1965,35,F,773596.0
1965,35,M,783908.0
1965,36,F,765423.0
1965,36,M,770950.0
1965,37,F,748908.0
1965,37,M,753137.0
1965,38,F,733997.0
1965,38,M,729733.0
1965,39,F,729106.0
1965,39,M,709781.0
1965,40,F,702623.0
1965,40,M,661458.0
1965,41,F,662581.0
1965,41,M,592291.0
1965,42,F,646537.0
1965,42,M,524584.0
1965,43,F,626432.0
1965,43,M,490877.0
1965,44,F,593563.0
1965,44,M,460456.0
1965,45,F,623720.0
1965,45,M,493323.0
1965,46,F,506824.0
1965,46,M,414636.0
1965,47,F,518119.0
1965,47,M,429610.0
1965,48,F,520561.00000000006
1965,48,M,437006.0
1965,49,F,527993.0
1965,49,M,450019.0
1965,50,F,509922.0
1965,50,M,440867.0
1965,51,F,516409.0
1965,51,M,449330.0
1965,52,F,495826.0
1965,52,M,433905.0
1965,53,F,493973.0
1965,53,M,431345.0
1965,54,F,468965.0
1965,54,M,417456.0
1965,55,F,454095.0
1965,55,M,412277.0
1965,56,F,442435.0
1965,56,M,403175.0
1965,57,F,417280.0
1965,57,M,390624.0
1965,58,F,413377.0
1965,58,M,391227.0
1965,59,F,344353.0
1965,59,M,333166.0
1965,60,F,360165.0
1965,60,M,338585.0
1965,61,F,337868.0
1965,61,M,325115.0
1965,62,F,352462.0
1965,62,M,332937.0
1965,63,F,342607.0
1965,63,M,322357.0
1965,64,F,326268.0
1965,64,M,306095.0
1965,65,F,306184.0
1965,65,M,282179.0
1965,66,F,272664.0
1965,66,M,253590.0
1965,67,F,273813.0
1965,67,M,249274.0
1965,68,F,251103.0
1965,68,M,225540.0
1965,69,F,239680.0
1965,69,M,208284.0
1965,70,F,225619.0
1965,70,M,194905.0
1965,71,F,206555.0
1965,71,M,174582.0
1965,72,F,188930.0
1965,72,M,155702.0
1965,73,F,180134.0
1965,73,M,144033.0
1965,74,F,154329.0
1965,74,M,119772.0
1965,75,F,157891.0
1965,75,M,116879.0
1965,76,F,149914.0
1965,76,M,108541.0
1965,77,F,128536.0
1965,77,M,92155.0
1965,78,F,115421.0
1965,78,M,76031.0
1965,79,F,92281.0
1965,79,M,58265.0
1965,80,F,86990.0
1965,80,M,52152.0
1965,81,F,77877.0
1965,81,M,43980.0
1965,82,F,68817.0
1965,82,M,36816.0
1965,83,F,58183.0
1965,83,M,29489.0
1965,84,F,49303.0
1965,84,M,24509.0
1965,85,F,40292.0
1965,85,M,18382.0
1965,86,F,34367.0
1965,86,M,15217.0
1965,87,F,27139.0
1965,87,M,11420.0
1965,88,F,20959.0
1965,88,M,8642.0
1965,89,F,16274.0
1965,89,M,6466.0
1965,90,F,11362.0
1965,90,M,4440.0
1965,91,F,8491.0
1965,91,M,3108.0
1965,92,F,6225.0
1965,92,M,2210.0
1965,93,F,4498.0
1965,93,M,1719.0
1965,94,F,3282.0
1965,94,M,1378.0
1965,95,F,1196.0
1965,95,M,384.0
1965,96,F,853.0
1965,96,M,211.0
1965,97,F,558.0
1965,97,M,153.0
1965,98,F,231.0
1965,98,M,53.0
1965,99,F,166.0
1965,99,M,33.0
1965,100,F,175.0
1965,100,M,39.0
1966,0,F,854901.6096621946
1966,0,M,896238.8971726173
1966,1,F,809748.9322187188
1966,1,M,846038.2185051604
1966,2,F,781976.3836357347
1966,2,M,816976.0400435827
1966,3,F,778374.0504973907
1966,3,M,811691.0493033017
1966,4,F,676888.8014430256
1966,4,M,705199.6592812575
1966,5,F,791246.3580112209
1966,5,M,821937.2514382434
1966,6,F,782090.0839398
1966,6,M,812674.207071451
1966,7,F,766375.4355769615
1966,7,M,792684.1754418449
1966,8,F,732522.2362576879
1966,8,M,759759.5492184055
1966,9,F,816429.9111432259
1966,9,M,849458.7560408276
1966,10,F,791782.1292244368
1966,10,M,823404.1499135754
1966,11,F,813487.267002477
1966,11,M,844139.8307608052
1966,12,F,847907.0345336735
1966,12,M,874790.6780153683
1966,13,F,881368.021012719
1966,13,M,910968.2363412085
1966,14,F,924105.8221539368
1966,14,M,955934.7459695982
