year,age,sex,pop
2020,0,F,409126.0
2020,0,M,428005.0
2020,1,F,425504.0
2020,1,M,446054.0
2020,2,F,446610.0
2020,2,M,468457.0
2020,3,F,458758.0
2020,3,M,480153.0
2020,4,F,476786.0
2020,4,M,501907.0
2020,5,F,489602.0
2020,5,M,514130.0
2020,6,F,487651.0
2020,6,M,513861.0
2020,7,F,500926.0
2020,7,M,524747.0
2020,8,F,502649.0
2020,8,M,526616.0
2020,9,F,513465.00000000006
2020,9,M,540528.0
2020,10,F,517816.00000000006
2020,10,M,545068.0
2020,11,F,520562.0
2020,11,M,547643.0
2020,12,F,530779.0
2020,12,M,557531.0
2020,13,F,527345.0
2020,13,M,555138.0
2020,14,F,523986.99999999994
2020,14,M,550198.0
2020,15,F,524155.0
2020,15,M,552565.0
2020,16,F,544825.0
2020,16,M,574977.0
2020,17,F,548945.0
2020,17,M,581329.0
2020,18,F,570651.0
2020,18,M,601356.0
2020,19,F,590112.0
2020,19,M,617391.0
2020,20,F,606718.0
2020,20,M,635288.0
2020,21,F,610829.0
2020,21,M,636254.0
2020,22,F,621512.0
2020,22,M,650572.0
2020,23,F,622835.0
2020,23,M,654083.0
2020,24,F,624071.0
2020,24,M,657797.0
2020,25,F,631637.0
2020,25,M,666373.0
2020,26,F,628011.0
2020,26,M,664013.0
2020,27,F,612692.0
2020,27,M,648773.0
2020,28,F,618013.0
2020,28,M,653163.0
2020,29,F,614649.0
2020,29,M,646827.0
2020,30,F,627606.0
2020,30,M,658299.0
2020,31,F,638891.0
2020,31,M,668200.0
2020,32,F,656763.0
2020,32,M,687872.0
2020,33,F,675243.0
2020,33,M,703827.0
2020,34,F,684020.0
2020,34,M,713052.0
2020,35,F,711507.0
2020,35,M,736009.0
2020,36,F,735711.0
2020,36,M,759345.0
2020,37,F,745911.0
2020,37,M,767985.0
2020,38,F,747373.0
2020,38,M,767910.0
2020,39,F,751921.0
2020,39,M,774703.0
2020,40,F,785600.0
2020,40,M,808361.0
2020,41,F,804214.0
2020,41,M,828439.0
2020,42,F,835346.0
2020,42,M,858203.0
2020,43,F,856197.0
2020,43,M,880994.0
2020,44,F,896212.0
2020,44,M,922678.0
2020,45,F,933904.0
2020,45,M,959382.0
2020,46,F,986180.0
2020,46,M,1014419.0
2020,47,F,1007110.0
2020,47,M,1028714.0
2020,48,F,987144.0
2020,48,M,1011319.0
2020,49,F,960220.0
2020,49,M,980062.0
2020,50,F,931708.0
2020,50,M,948528.0
2020,51,F,918600.0
2020,51,M,931255.0
2020,52,F,897008.0
2020,52,M,908002.0
2020,53,F,894878.0
2020,53,M,904190.0
2020,54,F,701484.0
2020,54,M,702426.0
2020,55,F,862599.0
2020,55,M,865574.0
2020,56,F,808886.0
2020,56,M,809982.0
2020,57,F,788940.0
2020,57,M,787524.0
2020,58,F,763735.0
2020,58,M,760609.0
2020,59,F,749072.0
2020,59,M,743211.0
2020,60,F,755430.0
2020,60,M,744337.0
2020,61,F,768620.0
2020,61,M,755785.0
2020,62,F,748855.0
2020,62,M,730040.0
2020,63,F,728040.0
2020,63,M,707360.0
2020,64,F,764705.0
2020,64,M,739220.0
2020,65,F,787569.0
2020,65,M,758861.0
2020,66,F,788835.0
2020,66,M,753073.0
2020,67,F,839130.0
2020,67,M,791277.0
2020,68,F,885623.0
2020,68,M,828019.0
2020,69,F,935775.0
2020,69,M,868112.0
2020,70,F,1005434.0
2020,70,M,918371.0
2020,71,F,1098181.0
2020,71,M,994845.0
2020,72,F,1085163.0
2020,72,M,968781.0
2020,73,F,1023795.0
2020,73,M,906112.0
2020,74,F,639054.0
2020,74,M,548814.0
2020,75,F,686501.0
2020,75,M,571689.0
2020,76,F,834870.0
2020,76,M,681688.0
2020,77,F,800016.0
2020,77,M,643636.0
2020,78,F,814920.0
2020,78,M,643418.0
2020,79,F,782135.0
2020,79,M,605752.0
2020,80,F,702099.0
2020,80,M,527887.0
2020,81,F,599611.0
2020,81,M,438311.0
2020,82,F,628598.0
2020,82,M,441377.0
2020,83,F,629361.0
2020,83,M,426809.0
2020,84,F,612336.0
2020,84,M,397396.0
2020,85,F,564951.0
2020,85,M,346288.0
2020,86,F,513071.0
2020,86,M,296592.0
2020,87,F,489221.0
2020,87,M,264598.0
2020,88,F,447622.0
2020,88,M,227782.0
2020,89,F,402847.0
2020,89,M,189088.0
2020,90,F,350475.0
2020,90,M,152333.0
2020,91,F,309423.0
2020,91,M,123329.0
2020,92,F,267062.0
2020,92,M,97680.0
2020,93,F,210549.0
2020,93,M,71879.0
2020,94,F,174069.0
2020,94,M,53891.0
2020,95,F,135592.0
2020,95,M,37221.0
2020,96,F,100536.0
2020,96,M,24411.0
2020,97,F,75866.0
2020,97,M,15549.0
2020,98,F,55873.0
2020,98,M,9957.0
2020,99,F,38994.0
2020,99,M,6309.0
2020,100,F,28264.0
2020,100,M,4203.0
2020,101,F,15144.0
2020,101,M,2158.0
2020,102,F,10572.0
2020,102,M,1385.0
2020,103,F,6464.0
2020,103,M,888.0
2020,104,F,4245.0
2020,104,M,483.0
2020,105,F,5818.0
2020,105,M,716.0
2021,0,F,407754.0
2021,0,M,428851.0
2021,1,F,408746.0
2021,1,M,427577.0
2021,2,F,425201.0
2021,2,M,445712.0
2021,3,F,446384.0
2021,3,M,468188.0
2021,4,F,458620.0
2021,4,M,479992.0
2021,5,F,476705.0
2021,5,M,501827.0
2021,6,F,489540.0
2021,6,M,514068.99999999994
2021,7,F,487612.0
2021,7,M,513827.0
2021,8,F,500914.0
2021,8,M,524745.0
2021,9,F,502677.0
2021,9,M,526652.0
2021,10,F,513541.00000000006
2021,10,M,540621.0
2021,11,F,517934.99999999994
2021,11,M,545191.0
2021,12,F,520712.99999999994
2021,12,M,547776.0
2021,13,F,530896.0
2021,13,M,557643.0
2021,14,F,527345.0
2021,14,M,555180.0
2021,15,F,523907.00000000006
2021,15,M,550195.0
2021,16,F,523933.99999999994
2021,16,M,552398.0
2021,17,F,544032.0
2021,17,M,574311.0
2021,18,F,547096.0
2021,18,M,579839.0
2021,19,F,567906.0
2021,19,M,599043.0
2021,20,F,587252.0
2021,20,M,614661.0
2021,21,F,604610.0
2021,21,M,632726.0
2021,22,F,609791.0
2021,22,M,634231.0
2021,23,F,621092.0
2021,23,M,649019.0
2021,24,F,622233.0
2021,24,M,652722.0
2021,25,F,623010.0
2021,25,M,656457.0
2021,26,F,630403.0
2021,26,M,665020.0
2021,27,F,626906.0
2021,27,M,662733.0
2021,28,F,611738.0
2021,28,M,647589.0
2021,29,F,617182.0
2021,29,M,652111.0
2021,30,F,613977.0
2021,30,M,645939.0
2021,31,F,627094.0
2021,31,M,657560.0
2021,32,F,638503.0
2021,32,M,667560.0
2021,33,F,656415.0
2021,33,M,687250.0
2021,34,F,674872.0
2021,34,M,703207.0
2021,35,F,683598.0
2021,35,M,712451.0
2021,36,F,711078.0
2021,36,M,735451.0
2021,37,F,735305.0
2021,37,M,758811.0
2021,38,F,745531.0
2021,38,M,767456.0
2021,39,F,747008.0
2021,39,M,767391.0
2021,40,F,751552.0
2021,40,M,774141.0
2021,41,F,785220.0
2021,41,M,807731.0
2021,42,F,803835.0
2021,42,M,827732.0
2021,43,F,834934.0
2021,43,M,857403.0
2021,44,F,855726.0
2021,44,M,880098.0
2021,45,F,895665.0
2021,45,M,921648.0
2021,46,F,933266.0
2021,46,M,958174.0
2021,47,F,985414.0
2021,47,M,1012962.0
2021,48,F,1006175.0
2021,48,M,1027067.0
2021,49,F,986097.0
2021,49,M,1009472.0
2021,50,F,959052.0
2021,50,M,978051.0
2021,51,F,930401.0
2021,51,M,946314.0
2021,52,F,917193.0
2021,52,M,928790.0
